sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi,id
MALE,61,60-64,RURAL AREAS,Mazowieckie,PRIMARY/NO EDUCATION,no specialisation,FARMER,0,-8.0,MARRIED,9.0,1985.0,,,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,YES,20,NO,NO,NO,-8,NO,,,NONE,,,,2255
MALE,84,65+,RURAL AREAS,Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24,2000.0,SINGLE,,,,,PLEASED,11.0,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,YES,0,NO,-8,NO,NO,NO,-8,NO,,,NONE,170.0,56.0,19.3771626297578,4282
FEMALE,87,65+,"URBAN 500,000 AND OVER",Lodzkie,SECONDARY,social sciences,RETIRED,24,1400.0,DIVORCED,7.0,1945.0,6.0,1952.0,MIXED,11.0,IT`S DIFFICULT TO TELL,NO,NO,YES,3,NO,-8,NO,NO,NO,-8,NO,,,NONE,155.0,75.0,31.2174817898023,4878
MALE,47,45-59,"URBAN 100,000-200,000",Slaskie,PRIMARY/NO EDUCATION,no specialisation,UNEMPLOYED,8,560.0,MARRIED,5.0,1984.0,,,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,NO,YES,4,YES,20,NO,NO,NO,-8,NO,,,NONE,164.0,70.0,26.0261748958953,3130
MALE,45,45-59,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,technical science,UNEMPLOYED,8,530.0,MARRIED,6.0,1991.0,,,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,1,YES,25,NO,NO,NO,-8,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,NONE,181.0,78.0,23.8087970452672,2276
FEMALE,60,60-64,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",LONG-TERM SICK/DISABLED,-8,700.0,MARRIED,4.0,1970.0,,,MIXED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,164.0,100.0,37.180249851279,3023
MALE,27,25-34,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,3,1000.0,SINGLE,,,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3,YES,15,NO,NO,NO,-8,NO,,,NONE,175.0,97.0,31.6734693877551,1684
FEMALE,49,45-59,"URBAN 20,000-100,000",Lubelskie,POST-SECONDARY OR HIGHER,social sciences,SELF-EMPLOYED,-8,-8.0,MARRIED,6.0,1990.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,18,YES,5,NO,NO,NO,-8,NO,,,NONE,160.0,60.0,23.4375,4469
FEMALE,58,45-59,"URBAN 200,000-500,000",Slaskie,POST-SECONDARY OR HIGHER,pedagogics,EMPLOYED IN PUBLIC SECTOR,0,3500.0,MARRIED,7.0,1974.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3,YES,5,NO,NO,NO,-8,NO,,,NONE,162.0,59.0,22.4813290656912,1073
MALE,30,25-34,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,services for the population and transport services,SELF-EMPLOYED,-8,1600.0,SINGLE,,,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,NO,-8,NO,NO,NO,-8,NO,,,NONE,174.0,75.0,24.772096710265608,19
MALE,59,45-59,"URBAN 100,000-200,000",Malopolskie,SECONDARY,services for the population and transport services,RETIRED,0,1300.0,MARRIED,7.0,1980.0,,,PLEASED,9.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3,YES,25,YES,YES,NO,-8,NO,,,NONE,176.0,68.0,21.952479338843002,218
FEMALE,26,25-34,"URBAN 500,000 AND OVER",Dolnoslaskie,POST-SECONDARY OR HIGHER,pedagogics,EMPLOYED IN PRIVATE SECTOR,-8,1500.0,SINGLE,,,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,5,NO,-8,NO,NO,YES,24,NO,,,ACTIVE,160.0,58.0,22.65625,2919
FEMALE,35,35-44,"URBAN BELOW 20,000",Mazowieckie,SECONDARY,social sciences,LONG-TERM SICK/DISABLED,0,1300.0,SINGLE,,,,,MIXED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,158.0,52.0,20.829995193078002,638
MALE,17,16-24,"URBAN BELOW 20,000",Zachodnio-pomorskie,PRIMARY/NO EDUCATION,no specialisation,PUPIL OR STUDENT,-8,,SINGLE,,,,,MIXED,2.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,4,NO,-8,NO,NO,,-8,NO,,,PASSIVE,178.0,50.0,15.780835753061499,399
FEMALE,40,35-44,"URBAN 20,000-100,000",Lubelskie,POST-SECONDARY OR HIGHER,law,EMPLOYED IN PRIVATE SECTOR,-8,2000.0,DIVORCED,10.0,1993.0,6.0,2002.0,MOSTLY SATISFIED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,8,YES,20,NO,NO,NO,-8,NO,,,ACTIVE,159.0,57.0,22.5465764803607,2925
FEMALE,75,65+,RURAL AREAS,Wielkopolskie,SECONDARY,no specialisation,RETIRED,0,1157.0,MARRIED,11.0,1955.0,,,PLEASED,12.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,15,NO,-8,NO,NO,NO,-8,NO,,,NONE,162.0,99.0,37.7229080932785,2522
MALE,21,16-24,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,no specialisation,UNEMPLOYED,24,,SINGLE,,,,,PLEASED,1.0,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,YES,8,YES,10,NO,NO,,-8,NO,,,NONE,186.0,75.0,21.6788067984738,179
FEMALE,43,35-44,RURAL AREAS,Dolnoslaskie,PRIMARY/NO EDUCATION,no specialisation,FARMER,0,1000.0,MARRIED,4.0,1988.0,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0,NO,-8,NO,NO,NO,-8,NO,,,NONE,168.0,67.0,23.7386621315193,1070
MALE,34,25-34,RURAL AREAS,Dolnoslaskie,POST-SECONDARY OR HIGHER,mathematics and statistics,EMPLOYED IN PUBLIC SECTOR,0,4000.0,MARRIED,8.0,2001.0,,,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,NO,YES,NO,10,NO,-8,NO,NO,NO,-8,NO,,,NONE,184.0,110.0,32.4905482041588,3314
FEMALE,35,35-44,RURAL AREAS,Kujawsko-pomorskie,SECONDARY,social sciences,OTHER ECONOMICALLY INACTIVE,0,800.0,MARRIED,6.0,1998.0,,,PLEASED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,20,NO,-8,NO,NO,NO,-8,NO,,,NONE,166.0,53.0,19.2335607490202,1771
MALE,47,45-59,"URBAN 100,000-200,000",Malopolskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,0,1200.0,MARRIED,4.0,1989.0,,,MIXED,6.0,IT`S DIFFICULT TO TELL,YES,YES,YES,5,YES,20,NO,NO,NO,-8,NO,,,NONE,164.0,64.0,23.7953599048186,4259
MALE,20,16-24,"URBAN 100,000-200,000",Warminsko-mazurskie,SECONDARY,no specialisation,PUPIL OR STUDENT,-8,-8.0,SINGLE,,,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,4,NO,-8,NO,NO,,-8,NO,,,ACTIVE,182.0,86.0,25.9630479410699,2382
MALE,71,65+,RURAL AREAS,Podlaskie,SECONDARY,technical science,RETIRED,-8,1000.0,MARRIED,9.0,1963.0,,,PLEASED,7.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,-8,NO,-8,NO,NO,NO,-8,NO,,,NONE,170.0,106.0,36.6782006920415,209
FEMALE,41,35-44,RURAL AREAS,Lodzkie,SECONDARY,social sciences,OTHER ECONOMICALLY INACTIVE,18,,MARRIED,4.0,1991.0,,,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,160.0,66.0,25.78125,4510
MALE,60,60-64,RURAL AREAS,Slaskie,SECONDARY,technical science,LONG-TERM SICK/DISABLED,24,900.0,SINGLE,,,,,MOSTLY DISSATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,0,NO,-8,NO,NO,NO,-8,NO,,,NONE,178.0,75.0,23.6712536295922,3412
MALE,74,65+,"URBAN 100,000-200,000",Mazowieckie,SECONDARY,technical science,RETIRED,0,1500.0,MARRIED,10.0,1977.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,3,NO,-8,NO,NO,NO,-8,NO,,,NONE,173.0,76.0,25.39343112031811,1376
FEMALE,52,45-59,"URBAN 20,000-100,000",Swietokrzyskie,SECONDARY,technical science,EMPLOYED IN PRIVATE SECTOR,-8,2000.0,MARRIED,12.0,1979.0,,,PLEASED,7.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3,NO,-8,NO,NO,NO,-8,NO,,,NONE,162.0,75.0,28.577960676726107,4852
MALE,25,25-34,"URBAN BELOW 20,000",Zachodnio-pomorskie,POST-SECONDARY OR HIGHER,economy and administration,UNEMPLOYED,-8,,SINGLE,,,,,MOSTLY DISSATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0,NO,-8,NO,NO,,-8,"YES, TO EU COUNTRY",IT DEPENDS,,ACTIVE,186.0,80.0,23.1240605850387,3598
MALE,77,65+,RURAL AREAS,Lodzkie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24,940.0,MARRIED,10.0,1958.0,,,MIXED,16.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,NO,-8,NO,NO,NO,-8,NO,,,NONE,180.0,75.0,23.148148148148106,4958
FEMALE,20,16-24,"URBAN 20,000-100,000",Pomorskie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,0,,SINGLE,,,,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,YES,10,YES,NO,,-8,"YES, TO EU COUNTRY",IT DEPENDS,GREAT BRITAIN,ACTIVE,157.0,60.0,24.3417582863402,341
MALE,40,35-44,"URBAN BELOW 20,000",Malopolskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PUBLIC SECTOR,-8,1890.0,MARRIED,,1990.0,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,2,YES,10,NO,NO,NO,-8,NO,,,NONE,178.0,82.0,25.8805706350208,4988
FEMALE,31,25-34,RURAL AREAS,Lubelskie,POST-SECONDARY OR HIGHER,economy and administration,EMPLOYED IN PRIVATE SECTOR,-8,1050.0,DIVORCED,7.0,2004.0,9.0,2009.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,5,YES,20,NO,NO,NO,-8,NO,,,ACTIVE,155.0,63.0,26.2226847034339,1211
MALE,64,60-64,RURAL AREAS,Dolnoslaskie,POST-SECONDARY OR HIGHER,technical science,RETIRED,24,1600.0,MARRIED,4.0,1986.0,,,DELIGHTED,8.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,6,NO,-8,NO,NO,NO,-8,NO,,,ACTIVE,165.0,70.0,25.7116620752984,1149
FEMALE,30,25-34,"URBAN 100,000-200,000",Wielkopolskie,SECONDARY,social sciences,EMPLOYED IN PRIVATE SECTOR,0,1600.0,SINGLE,,,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,YES,2,NO,-8,NO,NO,NO,-8,NO,,,PASSIVE,169.0,60.0,21.0076677987465,3846
FEMALE,27,25-34,RURAL AREAS,Lodzkie,POST-SECONDARY OR HIGHER,social sciences,EMPLOYED IN PUBLIC SECTOR,0,1400.0,SINGLE,,,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,1,NO,-8,NO,NO,NO,-8,NO,,,PASSIVE,170.0,62.0,21.453287197231802,4975
MALE,24,16-24,RURAL AREAS,Wielkopolskie,SECONDARY,computer science,UNEMPLOYED,24,-8.0,SINGLE,,,,,PLEASED,0.0,IT`S DIFFICULT TO TELL,YES,YES,YES,10,NO,-8,NO,NO,YES,4,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,190.0,80.0,22.1606648199446,2491
MALE,83,65+,"URBAN 20,000-100,000",Zachodnio-pomorskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,-8,1600.0,MARRIED,,1958.0,,,MOSTLY SATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3,NO,-8,NO,NO,NO,-8,NO,,,NONE,166.0,68.0,24.677021338365503,4688
FEMALE,21,16-24,RURAL AREAS,Malopolskie,SECONDARY,no specialisation,PUPIL OR STUDENT,-8,-8.0,SINGLE,,,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,2,NO,-8,NO,NO,NO,-8,NO,,,PASSIVE,160.0,60.0,23.4375,2171
FEMALE,37,35-44,RURAL AREAS,Warminsko-mazurskie,SECONDARY,"agriculture, forestry, fishing",OTHER ECONOMICALLY INACTIVE,-8,-8.0,MARRIED,3.0,1995.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,-8,NO,NO,NO,-8,NO,,,NONE,164.0,60.0,22.308149910767398,2710
FEMALE,80,65+,"URBAN 100,000-200,000",Opolskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24,1200.0,MARRIED,10.0,1951.0,,,MIXED,12.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,150.0,80.0,35.5555555555556,882
MALE,29,25-34,RURAL AREAS,Slaskie,POST-SECONDARY OR HIGHER,architecture and construction,EMPLOYED IN PRIVATE SECTOR,0,2300.0,MARRIED,9.0,2008.0,,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,10,NO,-8,NO,NO,NO,-8,NO,,,ACTIVE,196.0,101.0,26.2911286963765,3412
MALE,48,45-59,RURAL AREAS,Pomorskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,0,1700.0,MARRIED,8.0,1987.0,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,NO,-8,NO,NO,NO,-8,NO,,,NONE,180.0,85.0,26.234567901234602,983
FEMALE,57,45-59,"URBAN BELOW 20,000",Zachodnio-pomorskie,SECONDARY,technical science,OTHER ECONOMICALLY INACTIVE,-8,,MARRIED,1.0,1978.0,,,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,10,NO,-8,NO,NO,NO,-8,NO,,,NONE,158.0,57.0,22.8328793462586,831
MALE,57,45-59,"URBAN 500,000 AND OVER",Lodzkie,SECONDARY,technical science,EMPLOYED IN PRIVATE SECTOR,0,3000.0,MARRIED,8.0,1975.0,,,PLEASED,5.0,IT`S DIFFICULT TO TELL,YES,YES,,10,NO,-8,NO,,NO,-8,NO,,,NONE,178.0,90.0,28.405504355510697,1774
MALE,55,45-59,"URBAN 200,000-500,000",Slaskie,VOCATIONAL/GRAMMAR,technical science,EMPLOYED IN PRIVATE SECTOR,0,2000.0,MARRIED,4.0,1978.0,,,MOSTLY SATISFIED,3.0,IT`S DIFFICULT TO TELL,YES,YES,YES,5,YES,20,NO,YES,NO,-8,,,,NONE,176.0,90.0,29.0547520661157,580
FEMALE,75,65+,RURAL AREAS,Pomorskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0,901.0,MARRIED,4.0,1960.0,,,MOSTLY SATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,-8,NO,NO,NO,-8,NO,,,NONE,147.0,67.0,31.0055995187191,1022
FEMALE,81,65+,"URBAN 200,000-500,000",Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24,1040.0,MARRIED,11.0,1955.0,,,MOSTLY SATISFIED,13.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,15,NO,-8,NO,NO,NO,-8,NO,,,NONE,160.0,82.0,32.03125,2116
FEMALE,64,60-64,RURAL AREAS,Mazowieckie,SECONDARY,production and processing,RETIRED,0,750.0,MARRIED,10.0,1976.0,,,MIXED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,-8,NO,NO,NO,-8,NO,,,NONE,156.0,70.0,28.7639710716634,4025
FEMALE,19,16-24,"URBAN 100,000-200,000",Podkarpackie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,-8,,SINGLE,,,,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,3,NO,-8,NO,NO,NO,-8,NO,,,NONE,171.0,48.0,16.415307274033,234
MALE,30,25-34,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,production and processing,EMPLOYED IN PRIVATE SECTOR,0,3500.0,MARRIED,12.0,2001.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,2,NO,-8,NO,NO,NO,-8,NO,,,PASSIVE,178.0,85.0,26.827420780204505,2911
FEMALE,58,45-59,"URBAN 100,000-200,000",Zachodnio-pomorskie,POST-SECONDARY OR HIGHER,architecture and construction,RETIRED,0,1200.0,DIVORCED,10.0,1975.0,,1998.0,MIXED,10.0,IT`S DIFFICULT TO TELL,YES,NO,NO,3,NO,-8,NO,NO,NO,-8,"YES, TO EU COUNTRY",IT DEPENDS,GREAT BRITAIN,NONE,158.0,72.0,28.8415318058003,4111
FEMALE,20,16-24,"URBAN 100,000-200,000",Slaskie,SECONDARY,no specialisation,PUPIL OR STUDENT,-8,,SINGLE,,,,,MOSTLY SATISFIED,1.0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,4,NO,-8,NO,NO,,-8,NO,,,PASSIVE,168.0,63.0,22.321428571428598,3881
FEMALE,55,45-59,RURAL AREAS,Zachodnio-pomorskie,VOCATIONAL/GRAMMAR,social sciences,UNEMPLOYED,24,,MARRIED,4.0,1980.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,5,NO,-8,NO,NO,NO,-8,NO,,,NONE,156.0,75.0,30.818540433924998,289
FEMALE,75,65+,RURAL AREAS,Warminsko-mazurskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0,953.0,DIVORCED,11.0,1955.0,4.0,1980.0,MOSTLY DISSATISFIED,14.0,ONE CAN`T BE TOO CAREFUL,NO,NO,YES,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,150.0,82.0,36.4444444444444,1951
FEMALE,58,45-59,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,LONG-TERM SICK/DISABLED,-8,680.0,MARRIED,8.0,1972.0,,,MOSTLY SATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,1,NO,-8,NO,NO,NO,-8,NO,,,NONE,155.0,100.0,41.6233090530697,54
FEMALE,45,45-59,"URBAN 20,000-100,000",Slaskie,POST-SECONDARY OR HIGHER,liberal arts,SELF-EMPLOYED,0,1000.0,MARRIED,4.0,1991.0,,,MIXED,5.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,-8,NO,NO,NO,-8,NO,,,ACTIVE,162.0,64.0,24.3865264441396,291
FEMALE,43,35-44,RURAL AREAS,Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,services for the population and transport services,OTHER ECONOMICALLY INACTIVE,24,3000.0,MARRIED,6.0,1990.0,,,MOSTLY DISSATISFIED,15.0,IT`S DIFFICULT TO TELL,NO,NO,YES,0,YES,20,YES,YES,NO,-8,NO,,,NONE,166.0,66.0,23.9512265931195,2611
MALE,56,45-59,RURAL AREAS,Lubelskie,PRIMARY/NO EDUCATION,no specialisation,UNEMPLOYED,24,100.0,WIDOWED,6.0,1985.0,10.0,1997.0,TERRIBLE,9.0,IT`S DIFFICULT TO TELL,YES,YES,YES,1,YES,20,NO,NO,NO,-8,NO,,,NONE,172.0,55.0,18.5911303407247,3341
MALE,39,35-44,RURAL AREAS,Zachodnio-pomorskie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PRIVATE SECTOR,6,1100.0,SINGLE,,,,,MOSTLY DISSATISFIED,4.0,IT`S DIFFICULT TO TELL,NO,NO,YES,5,YES,10,YES,YES,NO,-8,NO,,,NONE,182.0,84.0,25.3592561284869,3943
FEMALE,38,35-44,RURAL AREAS,Warminsko-mazurskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PUBLIC SECTOR,0,1000.0,MARRIED,9.0,1991.0,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,2,YES,5,NO,NO,NO,-8,NO,,,NONE,164.0,70.0,26.0261748958953,4811
FEMALE,44,35-44,RURAL AREAS,Zachodnio-pomorskie,SECONDARY,public health,EMPLOYED IN PUBLIC SECTOR,0,2000.0,MARRIED,12.0,1988.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2,NO,-8,NO,NO,NO,-8,NO,,,NONE,164.0,63.0,23.4235574063058,4075
