,trustfam,nofriend,placesize,socprof,trustneigh,workab,id_hash,ls,region,wkabint,ymarr,smoke,age,emcc,ysepdiv,agegr,trust,mmarr,marital,unempdur,alcsol,sport,msepdiv,sex,wkabintdur,nociga,englang,eduspec,edu
21,YES,0,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3738>,MOSTLY SATISFIED,Dolnoslaskie,NO,1988.0,NO,43,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
22,NO,10,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3328>,PLEASED,Dolnoslaskie,NO,2001.0,NO,34,,,25-34,MOST PEOPLE CAN BE TRUSTED,8.0,MARRIED,0,NO,NO,,2,,-8,NONE,mathematics and statistics,POST-SECONDARY OR HIGHER
23,YES,20,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3760>,PLEASED,Kujawsko-pomorskie,NO,1998.0,NO,35,,,35-44,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,0,NO,YES,,1,,-8,NONE,social sciences,SECONDARY
24,YES,5,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3d78>,MIXED,Malopolskie,NO,1989.0,YES,47,,,45-59,IT`S DIFFICULT TO TELL,4.0,MARRIED,0,NO,YES,,2,,20,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
25,YES,-8,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee35a8>,PLEASED,Podlaskie,NO,1963.0,NO,71,,,65+,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,-8,NO,YES,,2,,-8,NONE,technical science,SECONDARY
26,YES,2,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee37b0>,PLEASED,Lodzkie,NO,1991.0,NO,41,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,18,NO,YES,,1,,-8,NONE,social sciences,SECONDARY
27,NO OPINION,3,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3be8>,MOSTLY SATISFIED,Mazowieckie,NO,1977.0,NO,74,,,65+,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,2,,-8,NONE,technical science,SECONDARY
28,YES,3,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3620>,PLEASED,Swietokrzyskie,NO,1979.0,NO,52,,,45-59,MOST PEOPLE CAN BE TRUSTED,12.0,MARRIED,-8,NO,YES,,1,,-8,NONE,technical science,SECONDARY
29,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3d00>,MIXED,Lodzkie,NO,1958.0,NO,77,,,65+,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,24,NO,YES,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
30,YES,2,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3788>,PLEASED,Malopolskie,NO,1990.0,YES,40,,,35-44,MOST PEOPLE CAN BE TRUSTED,,MARRIED,-8,NO,NO,,2,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
31,YES,5,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee3da0>,MOSTLY SATISFIED,Lubelskie,NO,2004.0,YES,31,,2009.0,25-34,ONE CAN`T BE TOO CAREFUL,7.0,DIVORCED,-8,NO,YES,9.0,1,,20,ACTIVE,economy and administration,POST-SECONDARY OR HIGHER
32,YES,6,RURAL AREAS,RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3c38>,DELIGHTED,Dolnoslaskie,NO,1986.0,NO,64,,,60-64,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,YES,,2,,-8,ACTIVE,technical science,POST-SECONDARY OR HIGHER
33,YES,3,"URBAN 20,000-100,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3800>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1958.0,NO,83,,,65+,ONE CAN`T BE TOO CAREFUL,,MARRIED,-8,NO,YES,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
34,YES,5,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8ee35f8>,PLEASED,Warminsko-mazurskie,NO,1995.0,NO,37,,,35-44,ONE CAN`T BE TOO CAREFUL,3.0,MARRIED,-8,NO,YES,,1,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
35,YES,2,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3dc8>,MIXED,Opolskie,NO,1951.0,NO,80,,,65+,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,24,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
36,YES,10,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3828>,MOSTLY SATISFIED,Slaskie,NO,2008.0,NO,29,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,2,,-8,ACTIVE,architecture and construction,POST-SECONDARY OR HIGHER
37,YES,10,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3238>,MOSTLY SATISFIED,Pomorskie,NO,1987.0,NO,48,,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
38,YES,10,"URBAN BELOW 20,000",OTHER ECONOMICALLY INACTIVE,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee3df0>,PLEASED,Zachodnio-pomorskie,NO,1978.0,NO,57,,,45-59,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,-8,NO,YES,,1,,-8,NONE,technical science,SECONDARY
39,YES,10,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3e18>,PLEASED,Lodzkie,NO,1975.0,NO,57,,,45-59,IT`S DIFFICULT TO TELL,8.0,MARRIED,0,,,,2,,-8,NONE,technical science,SECONDARY
40,YES,5,"URBAN 200,000-500,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3030>,MOSTLY SATISFIED,Slaskie,,1978.0,YES,55,,,45-59,IT`S DIFFICULT TO TELL,4.0,MARRIED,0,YES,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
41,YES,5,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3c88>,MOSTLY SATISFIED,Pomorskie,NO,1960.0,NO,75,,,65+,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
42,YES,15,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3198>,MOSTLY SATISFIED,Slaskie,NO,1955.0,NO,81,,,65+,ONE CAN`T BE TOO CAREFUL,11.0,MARRIED,24,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
43,YES,4,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3990>,MIXED,Mazowieckie,NO,1976.0,NO,64,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,1,,-8,NONE,production and processing,SECONDARY
44,YES,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3bc0>,PLEASED,Mazowieckie,NO,2001.0,NO,30,,,25-34,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,0,NO,NO,,2,,-8,PASSIVE,production and processing,VOCATIONAL/GRAMMAR
45,YES,3,"URBAN 100,000-200,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3e40>,MIXED,Zachodnio-pomorskie,"YES, TO EU COUNTRY",1975.0,NO,58,GREAT BRITAIN,1998.0,45-59,IT`S DIFFICULT TO TELL,10.0,DIVORCED,0,NO,NO,,1,IT DEPENDS,-8,NONE,architecture and construction,POST-SECONDARY OR HIGHER
46,YES,5,RURAL AREAS,UNEMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee3e68>,PLEASED,Zachodnio-pomorskie,NO,1980.0,NO,55,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,YES,,1,,-8,NONE,social sciences,VOCATIONAL/GRAMMAR
47,NO,2,RURAL AREAS,RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3a58>,MOSTLY DISSATISFIED,Warminsko-mazurskie,NO,1955.0,NO,75,,1980.0,65+,ONE CAN`T BE TOO CAREFUL,11.0,DIVORCED,0,NO,YES,4.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
48,YES,1,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3aa8>,MOSTLY SATISFIED,Malopolskie,NO,1972.0,NO,58,,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
49,YES,4,"URBAN 20,000-100,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3eb8>,MIXED,Slaskie,NO,1991.0,NO,45,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,ACTIVE,liberal arts,POST-SECONDARY OR HIGHER
50,NO,0,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3cd8>,MOSTLY DISSATISFIED,Kujawsko-pomorskie,NO,1990.0,YES,43,,,35-44,IT`S DIFFICULT TO TELL,6.0,MARRIED,24,YES,YES,,1,,20,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
51,YES,1,RURAL AREAS,UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3260>,TERRIBLE,Lubelskie,NO,1985.0,YES,56,,1997.0,45-59,IT`S DIFFICULT TO TELL,6.0,WIDOWED,24,NO,YES,10.0,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
52,YES,2,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3f08>,MOSTLY SATISFIED,Warminsko-mazurskie,NO,1991.0,YES,38,,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,1,,5,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
53,YES,2,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3e90>,PLEASED,Zachodnio-pomorskie,NO,1988.0,NO,44,,,35-44,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,0,NO,NO,,1,,-8,NONE,public health,SECONDARY
54,YES,0,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3f30>,MIXED,Opolskie,NO,1973.0,NO,62,,,60-64,ONE CAN`T BE TOO CAREFUL,11.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,SECONDARY
55,YES,8,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3288>,MOSTLY SATISFIED,Podkarpackie,NO,1968.0,NO,67,,,65+,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,1,,-8,NONE,liberal arts,POST-SECONDARY OR HIGHER
56,YES,10,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3f80>,MIXED,Wielkopolskie,NO,2007.0,YES,30,,,25-34,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,NO,,2,,15,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
57,YES,5,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3b98>,PLEASED,Malopolskie,NO,1992.0,NO,39,,,35-44,IT`S DIFFICULT TO TELL,5.0,MARRIED,-8,NO,YES,,2,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
58,YES,1,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3fa8>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1977.0,NO,55,,2010.0,45-59,ONE CAN`T BE TOO CAREFUL,2.0,WIDOWED,0,NO,NO,3.0,1,,-8,NONE,production and processing,SECONDARY
59,YES,3,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee33a0>,MOSTLY SATISFIED,Wielkopolskie,NO,1984.0,YES,48,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,1,,15,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
60,YES,1,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,YES,<sha256 HASH object @ 0x7f6ca8ee3af8>,PLEASED,Pomorskie,"YES, TO EU COUNTRY",2006.0,NO,35,GERMANY,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,2,LESS THAN 1 YEAR,-8,ACTIVE,services for the population and transport services,POST-SECONDARY OR HIGHER
61,YES,5,"URBAN 500,000 AND OVER",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3a30>,PLEASED,Mazowieckie,NO,1985.0,NO,46,,,45-59,IT`S DIFFICULT TO TELL,10.0,MARRIED,-8,NO,YES,,2,,-8,PASSIVE,economy and administration,POST-SECONDARY OR HIGHER
62,YES,4,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3f58>,MIXED,Malopolskie,NO,1990.0,NO,44,,,35-44,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
63,YES,4,"URBAN BELOW 20,000",OTHER ECONOMICALLY INACTIVE,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee3b70>,PLEASED,Kujawsko-pomorskie,NO,2007.0,YES,32,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,1,,7,PASSIVE,social sciences,SECONDARY
64,YES,10,RURAL AREAS,FARMER,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3a80>,MIXED,Malopolskie,NO,1974.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,SECONDARY
65,YES,5,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee30a8>,MIXED,Warminsko-mazurskie,NO,1970.0,YES,62,,,60-64,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
66,YES,20,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3148>,PLEASED,Zachodnio-pomorskie,NO,1999.0,YES,29,,,25-34,MOST PEOPLE CAN BE TRUSTED,4.0,MARRIED,0,NO,YES,,1,,10,PASSIVE,no specialisation,SECONDARY
67,YES,3,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3fd0>,PLEASED,Wielkopolskie,NO,1991.0,NO,39,,2005.0,35-44,ONE CAN`T BE TOO CAREFUL,1.0,WIDOWED,0,NO,NO,8.0,1,,-8,NONE,,VOCATIONAL/GRAMMAR
68,YES,20,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3ee0>,PLEASED,Mazowieckie,NO,1978.0,YES,56,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
69,YES,15,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3940>,PLEASED,Lubuskie,NO,1971.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,24,NO,YES,,1,,-8,PASSIVE,no specialisation,SECONDARY
70,YES,15,"URBAN 100,000-200,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3850>,DELIGHTED,Mazowieckie,NO,1977.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,1,,-8,NONE,technical science,SECONDARY
71,YES,40,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee39e0>,MOSTLY SATISFIED,Opolskie,NO,1945.0,NO,86,,2007.0,65+,ONE CAN`T BE TOO CAREFUL,6.0,WIDOWED,24,NO,YES,12.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
72,YES,5,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3a08>,MOSTLY SATISFIED,Opolskie,"YES, TO EU COUNTRY",1990.0,NO,52,GERMANY,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,LESS THAN 1 YEAR,-8,NONE,technical science,VOCATIONAL/GRAMMAR
73,YES,2,"URBAN BELOW 20,000",OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3558>,MOSTLY DISSATISFIED,Dolnoslaskie,NO,1988.0,YES,51,,,45-59,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,24,NO,YES,,1,,10,NONE,technical science,VOCATIONAL/GRAMMAR
74,NO,20,"URBAN BELOW 20,000",UNEMPLOYED,NO OPINION,YES,<sha256 HASH object @ 0x7f6ca8ee37d8>,MIXED,Mazowieckie,"YES, TO EU COUNTRY",1980.0,YES,54,BELGIUM,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,4,NO,YES,,2,IT DEPENDS,30,NONE,production and processing,VOCATIONAL/GRAMMAR
75,YES,2,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3530>,MOSTLY SATISFIED,Mazowieckie,NO,1959.0,NO,75,,,65+,MOST PEOPLE CAN BE TRUSTED,4.0,MARRIED,0,NO,YES,,2,,-8,,technical science,SECONDARY
76,YES,10,"URBAN 20,000-100,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3350>,PLEASED,Zachodnio-pomorskie,NO,1965.0,NO,70,,,65+,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,0,NO,YES,,1,,-8,NONE,production and processing,SECONDARY
77,YES,33,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee30d0>,PLEASED,Podlaskie,NO,1992.0,NO,40,,,35-44,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,SECONDARY
78,YES,6,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee32b0>,MOSTLY SATISFIED,Mazowieckie,NO,2005.0,YES,30,,,25-34,MOST PEOPLE CAN BE TRUSTED,9.0,MARRIED,-8,NO,YES,,2,,20,NONE,production and processing,VOCATIONAL/GRAMMAR
